Date,Close,High,Low,Open,Volume
1993-01-29,24.11327171325684,24.13042197763326,24.01037012699827,24.13042197763326,1003200
1993-02-01,24.284767150878903,24.284767150878903,24.130414817292813,24.130414817292813,480500
1993-02-02,24.33621025085449,24.35336050473106,24.21615847371849,24.267609235348207,201300
1993-02-03,24.59347152709961,24.61062178618406,24.353367899917327,24.37051815900177,529400
1993-02-04,24.69635391235352,24.74780464967092,24.40479973422157,24.67920366658105,531500
1993-02-05,24.6792049407959,24.73065568076976,24.542002967532262,24.6792049407959,492100
1993-02-08,24.6792049407959,24.76495617408567,24.64490444747999,24.6792049407959,596100
1993-02-09,24.507719039916992,24.593470331169325,24.45626826516559,24.593470331169325,122100
1993-02-10,24.5420150756836,24.559165330802863,24.43911354496793,24.50771456544504,379600
1993-02-11,24.66206932067871,24.764970861655115,24.576318036531703,24.576318036531703,19500
1993-02-12,24.473424911499023,24.627777276042465,24.473424911499023,24.627777276042465,42500
1993-02-16,23.855995178222656,24.40480311905884,23.821694681920395,24.40480311905884,374800
1993-02-17,23.83884048461914,23.89029121947804,23.753089259854324,23.855990729572103,210900
1993-02-18,23.821718215942383,24.11327272254499,23.49586317915124,24.11327272254499,378100
1993-02-19,23.907453536987305,23.907453536987305,23.787401761693967,23.821702268920635,34900
1993-02-22,23.993202209472656,24.027502712988703,23.90745095068255,23.976051957714635,513600
1993-02-23,23.97606086730957,24.078962416096303,23.85600906039171,24.061812157965186,373700
1993-02-24,24.284767150878903,24.284767150878903,23.99321274299406,23.99321274299406,26300
1993-02-25,24.33621025085449,24.35336050473106,24.21615847371849,24.267609235348207,44500
1993-02-26,24.370492935180664,24.38764317651436,24.2504412458448,24.38764317651436,66200
1993-03-01,24.301910400390625,24.4562626894545,24.26760989170976,24.4562626894545,66500
1993-03-02,24.66206932067871,24.66206932067871,24.28476367043189,24.31906418409069,182400
1993-03-03,24.76496315002441,24.78211340151335,24.662061641090794,24.696362144068665,280100
1993-03-04,24.627769470214844,24.799272043127203,24.627769470214844,24.799272043127203,89500
1993-03-05,24.559171676635746,24.764974791244423,24.54202141708502,24.66207323394008,40000
1993-03-08,25.10798454284668,25.10798454284668,24.61062692553619,24.61062692553619,50800
1993-03-09,25.0222225189209,25.07367328489537,24.970771752946423,25.05652302957056,169300
1993-03-10,25.073671340942383,25.073671340942383,24.91931905498583,25.022220578956865,194400
1993-03-11,25.00507164001465,25.159423934088814,24.97077113022039,25.090822914500293,70900
1993-03-12,24.74783706665039,24.816438139600216,24.59348465251328,24.79928787136276,643600
1993-03-15,24.867870330810547,24.867870330810547,24.730668287606075,24.730668287606075,310800
1993-03-16,24.867870330810547,24.936471352412784,24.867870330810547,24.867870330810547,30800
1993-03-17,24.71350479125977,24.83355651474264,24.67920429883609,24.83355651474264,21800
1993-03-18,24.867870330810547,24.9707718632139,24.81641956460887,24.81641956460887,59300
1993-03-19,24.83022689819336,24.968076874033432,24.83022689819336,24.968076874033432,66900
1993-03-22,24.692392349243164,24.744086122479544,24.57177354502495,24.589004802770408,183400
1993-03-23,24.74407958984375,24.778542096236286,24.709617083451207,24.76131084304001,55200
1993-03-24,24.74407958984375,24.84746710902137,24.58899831107732,24.709617083451207,37200
1993-03-25,24.89916038513184,24.950854143716885,24.726847856515008,24.761310362238373,110100
1993-03-26,24.76132583618164,24.899175945220925,24.74409457255173,24.88194468159101,101500
1993-03-29,24.86470413208008,24.9853229324436,24.77854784610613,24.77854784610613,87100
1993-03-30,24.933629989624023,24.933629989624023,24.864704958553883,24.899167474088955,56000
1993-03-31,24.916399002075195,25.07148032366488,24.9163990020752,25.00255529184724,111600
1993-04-01,24.83022689819336,24.950845627053425,24.77853315725333,24.950845627053425,129500
1993-04-02,24.313295364379883,24.623457884974385,24.313295364379883,24.623457884974385,59400
1993-04-05,24.433931350708008,24.502856403883488,24.365006297532524,24.502856403883488,172200
1993-04-06,24.3650016784668,24.485620498657227,24.29607663835798,24.485620498657227,129700
1993-04-07,24.451143264770508,24.451143264770508,24.347755766822218,24.399449515796363,28000
1993-04-08,24.416690826416016,24.55454088048188,24.313303285866617,24.55454088048188,180800
1993-04-12,24.76132583618164,24.77855709981155,24.62347572714236,24.65793825440217,348500
1993-04-13,24.813003540039062,24.899159802330864,24.72684727774726,24.74407853020562,146100
1993-04-14,24.77855682373047,24.84748187748216,24.761325560292548,24.830250614044232,119600
1993-04-15,24.77855682373047,24.830250614044232,24.675169243102943,24.761325560292548,148600
1993-04-16,24.77855682373047,24.830250614044232,24.744094296854627,24.79578808716839,47900
1993-04-19,24.6751651763916,24.84747778237199,24.657933915793564,24.77855273997984,157000
