Date,Close,High,Low,Open,Volume
2020-10-13,116.8008804321289,117.68858463220904,116.32807521465467,116.82982618797712,13100
2020-10-14,115.7587661743164,117.44637260564926,115.17886471944578,117.07102749838684,37800
2020-10-15,114.9260711669922,115.09299511022536,113.65433524790237,113.88687299956057,30600
2020-10-16,114.34038543701172,116.18334370630868,114.34038543701172,115.6912437836902,51000
2020-10-19,112.36234283447266,115.62370202191488,112.15489334662972,115.62370202191488,50600
2020-10-20,112.78690338134766,113.94092032696253,112.20796617300644,112.80620545985776,49800
2020-10-21,112.9316177368164,113.85791856377564,112.57460296911547,112.84477312344715,28200
2020-10-22,112.6228485107422,113.2297669781006,111.40707547931828,112.99915798401408,24800
2020-10-23,112.89302825927734,112.89302825927734,111.74479766742876,112.88337722125922,40600
2020-10-26,111.1369171142578,112.87373591473172,109.85263704188772,111.93778397011997,74400
2020-10-27,112.01498413085938,112.36234793418193,111.09833414861642,111.56148834024184,46900
2020-10-28,107.76943969726562,110.26852151346375,107.58610675605446,110.26852151346375,138800
2020-10-29,109.52555084228516,110.64386408942042,108.06951747741348,108.2229402905128,79600
2020-10-30,106.9685516357422,109.04308300838976,105.83962317769144,108.74395973781334,130600
2020-11-02,107.00715637207033,108.30011575614392,105.84927471544646,107.73082964686576,74100
2020-11-03,109.44931030273438,109.64132252960918,107.40276016969356,107.78872072035182,61800
2020-11-04,113.65531158447266,114.3905647017382,111.89919790087367,112.36234471765478,109700
2020-11-05,116.67542266845705,117.0411241211274,115.80701330669486,116.27981845795614,146500
2020-11-06,116.75262451171876,116.96490318868464,114.8951934498527,116.3956097039502,47100
2020-11-09,114.34038543701172,118.4026041543794,114.34038543701172,117.92015527067892,154000
2020-11-10,112.2340087890625,113.54916337317138,111.30191429856689,113.03776876217631,84200
2020-11-11,114.92896270751952,115.015799964746,113.34653110876695,113.34653110876695,65800
2020-11-12,114.26321411132812,115.72986312602036,113.85795873684232,115.2860109499282,44900
2020-11-13,115.35352325439452,115.41912970217044,114.15029422952615,115.00615949264034,39900
2020-11-16,115.85526275634766,116.26148237795066,114.8517682977693,115.26667458966628,47000
2020-11-17,115.8456039428711,116.3955952825089,115.65262736676765,116.32805274471424,29000
2020-11-18,115.3515853881836,116.24122559079365,115.21650030086062,115.65263741249277,35200
