Date,Open,High,Low,Close,Adj Close,Volume
2010-06-01,986.0156,994.7931,948.1186,973.2333,973.2333,135628510
2010-06-02,967.6097,997.1196,952.6116,997.1196,997.1196,107462758
2010-06-03,1002.355,1026.702,997.7751,998.3949,998.3949,161680539
2010-06-04,989.6815,1027.682,986.5043,1027.682,1027.682,150029501
2010-06-07,1005.029,1075.225,1001.703,1069.469,1069.469,265527537
2010-06-08,1067.325,1075.503,1050.965,1067.155,1067.155,197672078
2010-06-09,1070.852,1102.098,1069.431,1077.823,1077.823,254156809
2010-06-10,1077.675,1119.106,1076.281,1117.478,1117.478,219740471
2010-06-11,1122.444,1128.229,1118.707,1122.199,1122.199,222487419
2010-06-17,1126.131,1129.685,1064.84,1064.84,1064.84,176428356
2010-06-18,1052.068,1053.139,993.1747,1000.277,1000.277,163065095
2010-06-21,991.9573,1043.156,976.414,1040.803,1040.803,157479764
2010-06-22,1037.039,1057.366,1033.647,1034.996,1034.996,142716206
2010-06-23,1026.865,1056.348,1023.737,1047.338,1047.338,125735943
2010-06-24,1046.76,1059.755,1041.54,1050.602,1050.602,106913294
2010-06-25,1046.212,1046.212,999.1636,1016.284,1016.284,123729834
2010-06-28,1009.223,1014.414,984.2165,987.8274,987.8274,92067332
2010-06-29,985.5725,992.2276,912.54,913.3092,913.3092,149779969
2010-06-30,898.2917,921.8104,881.3604,919.3148,919.3148,122366104
2010-07-01,914.3952,921.2144,882.1904,882.1904,882.1904,104957291
2010-07-02,878.951,885.338,832.623,873.1205,873.1205,128883350
2010-07-05,857.3698,870.8632,842.733,862.2687,862.2687,91586433
2010-07-06,859.2588,898.4452,857.7974,893.7186,893.7186,116523157
2010-07-07,896.532,908.5493,890.3369,908.5493,908.5493,104616296
2010-07-08,911.9974,914.2968,887.0273,905.5095,905.5095,109808788
2010-07-09,903.4964,936.5306,896.8864,932.1471,932.1471,145146033
2010-07-12,931.5356,941.0719,924.058,930.1738,930.1738,126361753
2010-07-13,924.9489,936.6444,906.3046,931.0802,931.0802,146865741
2010-07-14,929.7492,937.9323,916.0745,922.3621,922.3621,142358618
2010-07-15,920.0461,930.5557,892.5576,892.5576,892.5576,117588081
2010-07-16,885.0674,895.056,869.0223,892.2982,892.2982,100931228
2010-07-19,881.6563,910.1765,878.0654,908.0493,908.0493,93880257
2010-07-20,909.5439,937.5456,909.5439,937.017,937.017,136580867
2010-07-21,940.0972,959.038,938.1601,941.2507,941.2507,166574558
2010-07-22,938.2185,950.2093,932.0198,950.2093,950.2093,132660271
2010-07-23,951.8402,964.7437,948.1261,960.5887,960.5887,172125133
2010-07-26,962.7602,966.7325,954.759,966.1547,966.1547,147603566
2010-07-27,963.5442,968.0402,955.7317,957.9673,957.9673,136182130
2010-07-28,955.1884,972.5341,954.5214,972.5341,972.5341,156618268
2010-07-29,974.2959,982.0151,965.6065,975.3624,975.3624,179419309
2010-07-30,971.6632,971.6632,955.9183,968.431,968.431,145848678
2010-08-02,968.4501,994.2289,968.4501,994.2289,994.2289,181036429
2010-08-03,995.1951,996.2639,975.6455,975.6455,975.6455,175705877
2010-08-04,971.407,978.0141,955.9306,978.0141,978.0141,144616538
2010-08-05,980.2707,998.1018,978.3335,987.3519,987.3519,177039972
2010-08-06,987.9679,1011.391,985.6303,1011.391,1011.391,189906135
2010-08-09,1013.245,1032.339,1013.245,1032.339,1032.339,209199502
2010-08-10,1031.979,1034.333,993.9927,993.9927,993.9927,217707159
2010-08-11,991.2786,1006.448,990.9409,1004.638,1004.638,161507822
2010-08-12,994.0526,1007.577,987.978,991.7774,991.7774,168918923
2010-08-13,992.6261,1007.521,986.6231,1007.206,1007.206,147179842
2010-08-16,1007.498,1031.052,1005.052,1030.217,1030.217,188040007
2010-08-17,1031.076,1036.821,1023.08,1033.581,1033.581,180077710
2010-08-18,1033.707,1035.611,1018.496,1026.722,1026.722,164350147
2010-08-19,1026.983,1033.249,1021.704,1025.526,1025.526,162453428
2010-08-20,1021.458,1022.448,993.5607,995.9444,995.9444,187022476
2010-08-23,994.9387,1001.184,991.5183,995.613,995.613,145601446
2010-08-24,993.5763,1007.76,987.2249,1004.985,1004.985,136505173
2010-08-25,1000.269,1002.33,976.555,976.8782,976.8782,150134272
2010-08-26,978.5989,984.8689,973.0021,980.6306,980.6306,128806654
2010-08-27,978.5141,1000.861,975.7206,999.4565,999.4565,121624294
2010-08-30,1002.988,1025.153,1002.988,1024.929,1024.929,164541225
2010-08-31,1020.747,1029.802,1015.133,1025.57,1025.57,153469989
2010-09-01,1025.678,1029.805,987.5889,995.5869,995.5869,186436260
2010-09-02,1001.597,1018.276,996.5244,1014.922,1014.922,163085743
2010-09-03,1017.638,1045.214,1017.51,1036.703,1036.703,228936521
2010-09-06,1039.464,1043.241,1007.427,1010.764,1010.764,181308084
2010-09-07,1010.116,1022.622,1007.637,1022.622,1022.622,128451498
2010-09-08,1020.229,1027.637,1016.837,1026.328,1026.328,140381869
2010-09-09,1029.106,1040.67,1019.689,1021.833,1021.833,195980272
2010-09-10,1021.875,1037.512,1016.191,1034.94,1034.94,181229017
2010-09-13,1034.39,1045.39,1033.254,1042.482,1042.482,166788999
2010-09-14,1044.303,1046.132,1028.77,1031.219,1031.219,159023168
2010-09-15,1029.521,1030.021,987.0493,990.1035,990.1035,181827387
2010-09-16,989.4884,994.9547,964.5285,972.6022,972.6022,144205821
2010-09-17,976.0716,981.7286,967.5555,972.2299,972.2299,96784058
2010-09-20,972.4455,975.2627,947.414,949.1955,949.1955,92365876
2010-09-21,952.0729,953.8341,930.2482,934.4615,934.4615,83585859
2010-09-27,936.2133,951.8378,930.8654,950.6717,950.6717,89293664
2010-09-28,949.6311,949.8899,939.6318,942.0492,942.0492,93943391
2010-09-29,941.2686,944.1743,924.415,926.7588,926.7588,83173535
2010-09-30,923.8251,942.5399,921.3577,942.5399,942.5399,69973738
2010-10-08,946.4691,963.1804,945.6189,959.8637,959.8637,108396014
2010-10-11,960.9139,961.1739,941.9125,947.11,947.11,144687007
2010-10-12,946.6262,959.9768,945.0111,951.7909,951.7909,124019209
2010-10-13,951.3265,962.7387,940.6459,962.7387,962.7387,133051664
2010-10-14,963.2866,975.9073,956.8642,958.4955,958.4955,139640543
2010-10-15,954.1175,957.7691,937.1206,944.2549,944.2549,135249842
2010-10-18,941.8744,941.8744,913.8162,932.3593,932.3593,132787576
2010-10-19,932.8261,1005.591,932.323,995.9223,995.9223,233908628
2010-10-20,986.6545,1024.58,986.0331,1004.543,1004.543,263813269
2010-10-21,1001.682,1001.682,983.6562,991.8421,991.8421,156912293
2010-10-22,991.1352,1023.704,991.1352,1013.449,1013.449,176574884
2010-10-25,1018.085,1043.088,1018.085,1039.054,1039.054,206368912
2010-10-26,1041.532,1041.914,1020.942,1036.008,1036.008,183841353
2010-10-27,1034.864,1048.556,1028.696,1030.593,1030.593,170168933
2010-10-28,1024.698,1038.622,1023.493,1038.622,1038.622,159247719
2010-10-29,1042.401,1069.754,1042.401,1064.522,1064.522,223551840
2010-11-01,1071.629,1113.623,1071.629,1107.523,1107.523,281789963
2010-11-02,1108.093,1108.093,1074.58,1075.152,1075.152,245453180
2010-11-03,1063.201,1063.201,1040.549,1040.622,1040.622,162049194
2010-11-04,1041.419,1057.714,1037.24,1057.714,1057.714,133879038
2010-11-05,1067.873,1072.22,1058.259,1072.22,1072.22,139702443
2010-11-08,1077.504,1107.061,1077.504,1107.061,1107.061,178649838
2010-11-09,1110.434,1117.522,1102.014,1115.648,1115.648,190022187
2010-11-10,1115.744,1147.481,1113.755,1141.583,1141.583,226669387
2010-11-11,1137.079,1163.698,1132.358,1132.722,1132.722,229790602
2010-11-12,1126.854,1140.635,1080.266,1082.24,1082.24,229228454
2010-11-15,1087.808,1148.54,1086.517,1148.54,1148.54,209131330
2010-11-16,1154.41,1175.312,1111.497,1126.175,1126.175,289446504
2010-11-17,1115.12,1132.863,1080.934,1085.349,1085.349,207611433
2010-11-18,1090.138,1102.846,1077.059,1102.846,1102.846,156990666
2010-11-19,1106.753,1153.171,1105.594,1153.171,1153.171,241422802
2010-11-22,1153.264,1194.196,1151.764,1174.938,1174.938,303424340
2010-11-23,1172.061,1183.842,1148.814,1183.502,1183.502,215736314
2010-11-24,1176.424,1208.451,1174.675,1208.451,1208.451,212038280
2010-11-25,1212.768,1215.741,1177.826,1186.358,1186.358,210120951
2010-11-26,1184.804,1200.498,1179.279,1196.019,1196.019,174707924
2010-11-29,1195.314,1221.745,1193.415,1220.111,1220.111,196404194
2010-11-30,1219.076,1219.117,1146.975,1181.504,1181.504,236234835
2010-12-01,1176.613,1182.573,1169.892,1177.176,1177.176,119469201
