Date,Open,High,Low,Close,Adj Close,Volume
2005-04-08,984.665,1003.699,979.529,1003.445,1003.445,1476252600
2005-04-11,1003.879,1008.735,992.773,995.421,995.421,1593606600
2005-04-12,993.711,993.711,978.204,978.697,978.697,1022619300
2005-04-13,987.95,1006.499,987.95,1000.9,1000.9,1607168700
2005-04-14,1004.64,1006.416,985.578,986.975,986.975,1294571000
2005-04-15,982.613,982.613,971.93,974.082,974.082,1040895500
2005-04-18,970.907,970.907,958.649,963.772,963.772,859840000
2005-04-19,962.916,968.867,957.91,965.886,965.886,921262300
2005-04-20,964.151,964.151,946.197,950.867,950.867,885070500
2005-04-21,948.861,955.553,938.595,943.981,943.981,994614500
2005-04-22,942.908,947.909,934.957,939.101,939.101,1069188400
2005-04-25,935.993,935.993,920.162,930.07,930.07,1147047800
2005-04-26,928.428,939.696,924.655,937.083,937.083,1169047100
2005-04-27,938.57,938.91,925.896,926.604,926.604,1078061100
2005-04-28,923.529,945.504,914.829,942.073,942.073,1434348600
2005-04-29,940.806,942.453,929.81,932.395,932.395,1123541900
2005-05-09,934.65,937.39,909.174,909.174,909.174,852911500
2005-05-10,905.543,913.388,892.313,913.076,913.076,1049433100
2005-05-11,911.838,917.223,900.438,901.851,901.851,904204700
2005-05-12,899.968,900.063,883.511,885.82,885.82,1022872000
2005-05-13,883.505,898.505,875.576,887.543,887.543,1124490600
2005-05-16,885.389,885.389,869.334,875.271,875.271,822428800
2005-05-17,873.077,888.281,868.212,881.462,881.462,877227300
2005-05-18,881.141,890.403,871.821,883.196,883.196,787861000
2005-05-19,882.842,888.016,871.289,884.171,884.171,814958300
2005-05-20,883.513,891.02,879.18,882.763,882.763,722667600
2005-05-23,880.281,880.281,862.098,863.341,863.341,727979500
2005-05-24,861.195,871.767,855.587,868.456,868.456,920692900
2005-05-25,867.658,876.305,861.659,868.451,868.451,723855600
2005-05-26,867.758,872.835,854.956,857.331,857.331,662278600
2005-05-27,855.595,864.963,848.398,849.508,849.508,774998300
2005-05-30,847.634,858.462,842.102,855.612,855.612,697158300
2005-05-31,856.561,863.198,853.291,855.946,855.946,704782100
2005-06-01,855.206,857.657,836.04,837.532,837.532,790230200
2005-06-02,835.467,835.493,812.989,818.379,818.379,950865700
2005-06-03,816.546,823.86,807.965,818.033,818.033,793605600
2005-06-06,816.731,839.15,807.784,838.997,838.997,900918500
2005-06-07,841.579,858.092,835.179,837.282,837.282,1306706800
2005-06-08,848.536,908.829,844.473,905.773,905.773,3290783900
2005-06-09,907.569,925.365,895.036,912.604,912.604,3314184000
2005-06-10,911.941,911.941,889.103,894.556,894.556,2239150200
2005-06-13,894.997,900.18,877.69,892.959,892.959,1562800200
2005-06-14,895.391,905.415,882.862,883.537,883.537,1434357000
2005-06-15,881.208,881.248,865.136,866.834,866.834,1145405600
2005-06-16,866.659,879.493,861.827,879.237,879.237,1104968500
2005-06-17,883.605,888.078,876.038,880.345,880.345,1496300900
2005-06-20,881.623,906.482,872.563,906.255,906.255,1899208200
2005-06-21,906.306,906.306,894.386,896.166,896.166,1277478400
2005-06-22,894.769,901.243,891.926,900.646,900.646,1047813400
2005-06-23,900.059,904.896,892.831,893.572,893.572,950930800
2005-06-24,892.061,898.67,888.397,898.301,898.301,891873900
2005-06-27,904.209,920.647,904.209,916.043,916.043,1654540200
2005-06-28,913.48,913.48,901.207,903.716,903.716,1040221900
2005-06-29,906.751,907.571,898.084,898.898,898.898,1080674600
2005-06-30,897.102,897.102,876.884,878.686,878.686,1085547200
2005-07-01,875.935,875.935,858.37,859.494,859.494,1009459700
2005-07-04,855.317,856.1,842.812,855.932,855.932,884027700
2005-07-05,853.679,856.738,845.361,849.679,849.679,799268800
2005-07-06,850.253,854.448,838.609,842.556,842.556,689831400
2005-07-07,841.748,848.022,839.282,844.729,844.729,596246500
2005-07-08,842.62,842.62,827.229,829.489,829.489,722100000
2005-07-11,837.863,850.658,822.524,824.097,824.097,843900600
2005-07-12,821.911,854.286,818.863,851.816,851.816,1498987100
2005-07-13,850.469,851.949,841.858,846.231,846.231,939884200
2005-07-14,844.94,856.095,843.176,849.59,849.59,936196800
2005-07-15,849.873,854.604,837.783,841.001,841.001,888956300
2005-07-18,839.221,840.005,829.679,832.995,832.995,850000600
2005-07-19,831.501,840.143,829.277,835.608,835.608,789181800
2005-07-20,835.301,844.712,832.144,842.641,842.641,852647300
2005-07-21,842.746,843.987,835.757,843.987,843.987,836610100
2005-07-22,847.541,867.165,842.987,859.693,859.693,2162514094
2005-07-25,858.328,860.951,854.284,856.86,856.86,1181608000
2005-07-26,856.189,880.034,856.189,876.48,876.48,2182677600
2005-07-27,876.942,894.026,876.036,894.012,894.012,2040953700
2005-07-28,893.879,900.997,888.5,890.885,890.885,2062252700
2005-07-29,889.41,892.294,883.383,888.164,888.164,1339740600
2005-08-01,887.718,897.285,885.85,891.607,891.607,1180830900
2005-08-02,892.13,903.648,888.396,903.598,903.598,1429254700
2005-08-03,905.181,919.282,903.76,909.57,909.57,2578629800
2005-08-04,907.42,909.827,901.625,904.15,904.15,1451925600
2005-08-05,904.039,923.808,903.94,923.803,923.803,1912376500
2005-08-08,926.571,933.154,923.573,927.471,927.471,2160894400
2005-08-09,926.973,933.394,919.107,933.089,933.089,1953290700
2005-08-10,933.26,940.37,926.275,940.37,940.37,2151576300
2005-08-11,940.785,953.992,939.386,953.992,953.992,2707366600
2005-08-12,954.719,959.268,933.985,938.316,938.316,2916814400
2005-08-15,937.705,954.502,936.113,954.502,954.502,2043081300
2005-08-16,955.27,959.343,939.916,945.058,945.058,2386181800
2005-08-17,943.405,953.342,930.325,953.012,953.012,2145776900
2005-08-18,954.155,956.841,919.121,920.671,920.671,3185532700
2005-08-19,918.091,927.32,910.083,923.038,923.038,2224267900
2005-08-22,923.108,933.351,919.222,931.673,931.673,1603101000
2005-08-23,931.809,931.809,915.033,923.414,923.414,1540648800
2005-08-24,923.558,935.23,923.558,930.651,930.651,1595974700
2005-08-25,930.975,933.196,920.61,930.118,930.118,1629205700
2005-08-26,930.246,930.325,921.843,928.258,928.258,1542980400
2005-08-29,928.341,928.341,913.767,917.371,917.371,1546226100
2005-08-30,916.086,920.208,912.838,914.88,914.88,1243817000
2005-08-31,915.122,928.212,911.505,927.916,927.916,1462363000
2005-09-01,928.52,944.947,926.06,944.559,944.559,2230638400
2005-09-02,945.978,947.918,941.314,947.871,947.871,1861443800
2005-09-05,949.077,952.985,944.629,952.717,952.717,1784331800
2005-09-06,953.41,956.297,934.972,936.61,936.61,2122225500
2005-09-07,934.991,952.896,932.648,952.758,952.758,1960846600
2005-09-08,954.273,958.867,947.707,955.282,955.282,2242439300
2005-09-09,955.112,959.898,946.021,949.065,949.065,1621931000
2005-09-12,949.779,952.551,945.403,949.506,949.506,1167261300
2005-09-13,949.584,963.921,948.128,963.774,963.774,1657943100
2005-09-14,964.97,970.263,961.64,970.193,970.193,1995829100
2005-09-15,970.58,970.964,965.656,969.598,969.598,1637767900
2005-09-16,969.619,970.37,964.285,967.495,967.495,1397857100
2005-09-19,967.44,971.987,964.263,971.136,971.136,1473742100
2005-09-20,971.379,971.65,957.118,961.919,961.919,1863660400
2005-09-21,961.374,961.374,943.824,944.408,944.408,1854189500
2005-09-22,942.726,942.726,914.232,923.274,923.274,1811552500
2005-09-23,921.51,927.419,914.806,916.154,916.154,1154764400
2005-09-26,915.84,919.65,913.613,918.485,918.485,883624100
2005-09-27,918.866,921.132,903.387,904.214,904.214,1108605600
2005-09-28,903.328,910.333,901.382,903.719,903.719,885031000
2005-09-29,904.28,915.975,904.28,915.975,915.975,1193897800
2005-09-30,916.587,918.662,913.452,917.392,917.392,900143300
2005-10-10,917.211,917.211,906.88,907.321,907.321,715845100
2005-10-11,906.628,919.796,904.045,919.72,919.72,775829500
2005-10-12,920.453,926.094,917.377,923.485,923.485,1220885200
2005-10-13,923.426,926.009,916.275,916.499,916.499,1082890400
2005-10-14,916.337,917.89,902.813,904.828,904.828,1012394000
2005-10-17,903.266,903.266,892.359,897.623,897.623,1055250600
2005-10-18,897.366,903.001,895.622,902.366,902.366,1136631700
