Date,Close,High,Low,Open,Volume
1993-07-12,2826.39697265625,2826.7971187258554,2814.5971801997653,2826.7971187258554,0
1993-07-13,2843.39697265625,2843.697021175221,2820.8969958390494,2826.396990172143,0
1993-07-14,2851.09716796875,2858.3969651552343,2845.3969785135646,2845.3969785135646,0
1993-07-15,2843.697021484375,2848.6970163331853,2834.99707927552,2848.6970163331853,0
1993-07-16,2830.4970703125,2847.997052199258,2818.7971312505706,2843.697007821866,0
1993-07-19,2822.197021484375,2825.1970183701155,2817.3969776391154,2825.1970183701155,0
1993-07-20,2839.9970703125,2840.4970697967096,2829.497081144091,2829.497081144091,0
1993-07-21,2830.4970703125,2832.2971172774983,2818.997082215488,2832.2971172774983,0
1993-07-22,2838.89697265625,2849.896961304472,2814.097193561649,2830.49707898103,0
1993-07-23,2855.89697265625,2865.997059951447,2844.6970329736982,2844.6970329736982,0
1993-07-26,2872.9970703125,2877.097163787753,2861.3969844852304,2861.3969844852304,0
1993-07-27,2876.59716796875,2878.097166441068,2857.797138287627,2872.9970739790374,0
1993-07-28,2901.89697265625,2913.797107126527,2896.297124794101,2896.297124794101,0
1993-07-29,2963.197021484375,2963.7971185473143,2892.3970426555825,2901.897033263023,0
1993-07-30,2981.197021484375,3044.497008106219,2973.697028854782,2973.697028854782,0
1993-08-02,3019.69677734375,3033.0969097440234,2999.3967498518064,2999.3967498518064,0
1993-08-03,2993.9970703125,3016.297097319592,2983.297129610736,3016.297097319592,0
1993-08-04,2985.797119140625,2991.297113743987,2970.3969877669792,2991.297113743987,0
1993-08-05,2981.197021484375,2985.997065595392,2970.3969832696835,2985.797114620013,0
1993-08-06,2993.797119140625,2995.896970601365,2976.896989194478,2981.19703381464,0
1993-08-09,2989.297119140625,3001.697009331752,2979.396982358968,2993.797114730364,0
1993-08-10,3002.89697265625,3002.89697265625,2986.2971353357643,2989.2971324089062,0
1993-08-11,3032.396728515625,3036.096919955356,3008.6968021490443,3008.6968021490443,0
1993-08-12,3086.996826171875,3087.3967281044747,3058.596953026832,3058.596953026832,0
1993-08-13,3112.69677734375,3118.096918321929,3065.9968737889344,3086.9968523765297,0
1993-08-16,3113.896728515625,3114.9968250506054,3094.996845435513,3112.6967785667944,0
1993-08-17,3166.996826171875,3167.7968741982263,3105.7969363319,3113.896781730208,0
1993-08-18,3206.69677734375,3209.296872426556,3177.496855072498,3177.496855072498,0
1993-08-19,3231.19677734375,3253.596901825706,3197.8967612244123,3206.6968014087383,0
1993-08-20,3229.896728515625,3236.1967711530715,3198.0969550758778,3231.19677606627,0
1993-08-23,3219.796875,3234.3967141242265,3200.396747638779,3229.8967185599763,0
1993-08-24,3250.896728515625,3258.496818751959,3214.6968126854786,3219.7969053625434,0
1993-08-25,3300.696533203125,3312.996569294199,3279.3965064318068,3279.3965064318068,0
1993-08-26,3330.99658203125,3338.196525815192,3257.9966569372,3300.696564294275,0
1993-08-27,3363.396484375,3386.996558048257,3342.796651793447,3342.796651793447,0
1993-08-30,3379.0966796875,3380.996580109494,3341.1965715392244,3363.3965002557898,0
1993-08-31,3360.196533203125,3436.796552942363,3341.996600544096,3379.096660462421,0
1993-09-01,3264.396484375,3336.796555053272,3262.596681571974,3336.796555053272,0
1993-09-02,3288.896484375,3294.0966742832297,3229.79669227853,3264.3965098364724,0
1993-09-03,3269.296630859375,3318.5966281455726,3264.196538535145,3288.89646388386,0
1993-09-06,3253.0966796875,3260.696525218108,3231.996604200711,3260.696525218108,0
1993-09-07,3271.896484375,3285.296616861,3253.896503178582,3253.896503178582,0
1993-09-08,3261.99658203125,3270.6965240871955,3250.2966431187456,3270.6965240871955,0
1993-09-09,3232.096923828125,3279.496779626552,3222.496835598892,3261.9967968110423,0
1993-09-10,3183.19677734375,3228.896682950221,3163.4968458138264,3228.896682950221,0
1993-09-13,3137.896728515625,3195.596865467276,3128.196787154764,3183.1967315250263,0
1993-09-14,3181.496826171875,3183.096922231886,3153.696805076762,3153.696805076762,0
1993-09-15,3117.69677734375,3174.596865903601,3107.0969346188085,3174.596865903601,0
1993-09-16,3120.596923828125,3125.196772665437,3073.696825043872,3117.696780293365,0
1993-09-17,3139.19677734375,3160.0969026974312,3134.396733368623,3134.396733368623,0
1993-09-20,3187.496826171875,3193.896722143173,3152.696811994534,3152.696811994534,0
1993-09-21,3170.096923828125,3191.596902302841,3165.9968302767943,3187.4968087515103,0
1993-09-22,3130.996826171875,3146.2968594906656,3106.3967534522208,3146.2968594906656,0
1993-09-23,3112.19677734375,3153.196735531863,3108.6967809130574,3130.996806999545,0
1993-09-24,3101.796875,3107.9968198279525,3087.496840803991,3107.9968198279525,0
1993-09-27,3147.396728515625,3153.7968685461124,3124.3967517087526,3124.3967517087526,0
1993-09-28,3171.896728515625,3196.7968500847164,3170.296876600826,3170.296876600826,0
1993-09-29,3171.496826171875,3177.7968686953263,3148.896751132313,3171.896728115429,0
1993-09-30,3177.296875,3189.496813985256,3165.8967399033145,3171.496831965586,0
1993-10-01,3180.296875,3181.696775946697,3162.696794908032,3177.296877993895,0
1993-10-04,3167.596923828125,3178.09691330748,3157.396738735876,3178.09691330748,0
1993-10-05,3210.396728515625,3214.396724561192,3189.1967983021987,3189.1967983021987,0
1993-10-06,3242.496826171875,3253.4968154048406,3229.39674133828,3229.39674133828,0
1993-10-07,3237.69677734375,3256.4968077427047,3231.3967346913896,3242.496821466519,0
1993-10-08,3259.696533203125,3260.5966787436487,3229.396516146213,3237.696556271296,0
1993-10-11,3285.196533203125,3286.796629194611,3239.896531505816,3259.696559733688,0
1993-10-13,3291.296630859375,3318.6965047487124,3287.696536941776,3287.696536941776,0
1993-10-14,3316.896484375,3319.5966769050274,3296.99660253752,3296.99660253752,0
1993-10-15,3339.196533203125,3360.996559716957,3332.496588889247,3332.496588889247,0
1993-10-18,3355.99658203125,3370.7966157860424,3351.196538091807,3351.196538091807,0
1993-10-19,3352.396484375,3357.0966748953747,3342.996591615003,3355.996578360739,0
1993-10-20,3382.796630859375,3383.6965322938668,3366.1965499758026,3366.1965499758026,0
1993-10-21,3407.796630859375,3408.796629856391,3385.0967024551865,3385.0967024551865,0
1993-10-22,3478.0966796875,3482.6965286827963,3426.296681763876,3426.296681763876,0
1993-10-25,3456.5966796875,3465.596670788085,3435.79665142696,3465.596670788085,0
1993-10-26,3436.696533203125,3477.796589983287,3427.8964931270857,3456.596659895816,0
1993-10-27,3396.5966796875,3419.0966570459486,3388.9965896791614,3419.0966570459486,0
1993-10-28,3429.296630859375,3430.7966293643312,3378.896534608611,3396.596712279402,0
1993-10-29,3449.5966796875,3458.9965727175404,3437.7966425512222,3437.7966425512222,0
1993-11-02,3436.796630859375,3457.5966590014214,3432.4965863077377,3449.596666957587,0
1993-11-03,3450.49658203125,3450.49658203125,3433.396501313878,3436.796644430164,0
1993-11-04,3427.99658203125,3434.6965265227795,3414.896497436763,3434.6965265227795,0
1993-11-05,3348.196533203125,3378.1965025779937,3338.196543411502,3378.1965025779937,0
1993-11-08,3341.796630859375,3370.896454611882,3332.7966400645096,3348.196526657352,0
1993-11-09,3364.296630859375,3365.496580812157,3331.596712909094,3341.796653718304,0
1993-11-10,3358.196533203125,3373.796614981629,3341.596696582796,3364.296624650709,0
1993-11-11,3358.396484375,3362.1965293356734,3343.696548163813,3358.1965334066226,0
1993-11-12,3354.196533203125,3355.696531674608,3323.496613314857,3355.696531674608,0
1993-11-15,3371.696533203125,3381.996571589857,3347.5967041180684,3354.196550943272,0
1993-11-16,3405.5966796875,3413.096672160261,3393.596691731082,3393.596691731082,0
1993-11-17,3445.49658203125,3457.6965211006577,3438.89649092236,3438.89649092236,0
1993-11-18,3435.696533203125,3477.8964423928373,3430.19653867474,3445.4965722817783,0
1993-11-19,3415.796630859375,3421.49657632768,3387.196561821381,3421.49657632768,0
1993-11-22,3356.5966796875,3382.996555148679,3349.4965892611585,3382.996555148679,0
1993-11-23,3327.0966796875,3365.5966401360006,3315.696544914628,3356.596649381806,0
1993-11-24,3288.896484375,3336.896434491299,3271.9965995943685,3327.096639988185,0
1993-11-25,3320.196533203125,3327.296623550203,3289.596711188417,3289.596711188417,0
1993-11-26,3334.796630859375,3342.996573626795,3322.3964970844017,3322.3964970844017,0
1993-11-29,3313.0966796875,3342.2966007351656,3308.096684845764,3334.7966084725613,0
1993-11-30,3280.0966796875,3302.9965581688225,3262.896502298151,3302.9965581688225,0
